File Name	First Author	Publication Year	Study Title	Study Description
00091_bmjopen-2020-041167.txt	Sarah K Chen	2020	Real-­world patterns of pegloticase use for treatment of gout: descriptive multidatabase cohort study	The objective of this study was to describe the patterns of pegloticase treatment in a real-world cohort of patients with gout and the incidence of safety outcomes with its use.
00092_ceor-10-213.txt	Ahmed Shelbaya	2018	The economic and clinical burden of early versus late initiation of celecoxib among patients with osteoarthritis	This study aimed to evaluate the characteristics associated with early versus late initiation of celecoxib treatment after osteoarthritis (OA) diagnosis and whether economic and safety outcomes differ between patients with early versus late initiation of celecoxib.
00093_ceor-5-347.txt	Henry J Henk	2013	Retrospective claims analysis of best supportive care costs and survival in a US metastatic renal cell population	The objective of this study was to examine survival and costs associated with BSC after either one or two lines of mRCC treatment.
00094_ciw356.txt	Joseph Lykins	2016	Understanding Toxoplasmosis in the United States Through “Large Data” Analyses	Herein, we present a novel approach to understanding epidemiology of toxoplasmosis through use of “large data.”
00095_clep-11-469.txt	Daniel G Whitney	2019	Prevalence of high-burden medical conditions and health care resource utilization and costs among adults with cerebral palsy	The purpose of this study was to determine the prevalence of high-burden medical conditions and health care resource utilization and costs among adults with CP, as compared to adults without CP.
00096_clep-7-441.txt	Alexander Liede	2015	Validation of International Classification of Diseases coding for bone metastases in electronic health records using technologyenabled abstraction	In this study, we examined the validity  of ICD-9 code 198.5 to identify patients diagnosed with bone metastases in the oncology clinic
00097_copd-10-1417.txt	David M Kern	2015	Validation of an administrative claims-based diagnostic code for pneumonia in a US-based commercially insured COPD population	The current study aimed to determine the validity of pneumonia diagnosis codes in a large US-based administrative claims database by comparing patients’ claims-based records and their medical records at the time of their observed pneumonia diagnosis. The objective was to confirm the accuracy of claims-based diagnoses of pneumonia by using the physicians’ diagnoses (medical record-based) as the reference standard.
00098_copd-7-001.txt	Barry Make	2012	Undertreatment of COPD: a retrospective analysis of US managed care and Medicare patients	In this retrospective analysis of managed care patients, we sought to document and evaluate patterns of medication utilization and medication-related assessments recorded for COPD patients. Medication utilization, adherence, and indicators of treatment and care were analyzed to assess treatment of COPD patients based on recognized guidelines
00099_cureus-0011-00000006195.txt	Siddharth Bhargava 	2019	Demographics and Outcomes of Spine Surgery in Octogenarians and Nonagenarians: A Comparison of the National Inpatient Sample, MarketScan and National Surgical Quality Improvement Program Databases	This study tested for similarity and inter-database reliability in reported measures between three commonly used national databases. Methods International Classification of Diseases, 9th edition (ICD-9) codes were used to identify elderly (80-100 years) who underwent spine surgery patients in Truven Health Analytics MarketScan® claims database, National (Nationwide) Inpatient Sample (NIS) discharge database and National Surgical Quality Improvement Program (NSQIP) database (2006-2016
00100_dic_212258_(1).txt	Christopher M Blanchette	2013	Probabilistic data linkage: a case study of comparative effectiveness in COPD	While each of these datasets provides unique information, they lack a significant amount of information about the patients themselves and their associated treatments. Given these challenges and data limitations, there is a need for new, advanced techniques to overcome the limitations of existing data sources, thereby enhancing their utility for CER. Herein we describe the approach of probabilistic data linkage in addressing this critical issue.
00101_dic_212258.txt	Christopher M Blanchette	2013	Probabilistic data linkage: a case study of comparative effectiveness in COPD	While each of these datasets provides unique information, they lack a significant amount of information about the patients themselves and their associated treatments. Given these challenges and data limitations, there is a need for new, advanced techniques to overcome the limitations of existing data sources, thereby enhancing their utility for CER. Herein we describe the approach of probabilistic data linkage in addressing this critical issue.
00102_e20183285.full.txt	David C. Brousseau	2019	Hydroxyurea Use for Sickle Cell Disease Among Medicaid-Enrolled Children	We hypothesized that hydroxyurea use would increase, and acute care visits would decrease, across a Medicaid-insured sickle cell population.
00103_egems-7-1-281.txt	Christine C. Stewart	2019	Impact of ICD-10-CM Transition on Mental Health Diagnoses Recording	This study examines the impact of the transition from ICD-9-CM to ICD-10-CM diagnosis coding on the recording of mental health disorders in electronic health records (EHRs) and claims data in ten large health systems.
00104_hpy118.txt	Andrew Y. Hwang	2018	Use of Prescription Medications That Potentially Interfere With Blood Pressure Control in New-Onset Hypertension and Treatment-Resistant Hypertension	We aimed to evaluate the use of BP-interfering prescription medications among U.S. patients with hypertension.
00105_i1523-5998-9-4-280.txt	Robert L. Ohsfeldt	2007	Medication Use, Service Utilization, and Medical Costs Associated With New Episodes of Bipolar Disorder: Evidence From a Retrospective Claims Database	The objective of this study was to identify patterns of resource use and costs among privately insured patients during new episodes of bipolar disorder. This study used Medstat MarketScan claims data to analyze differences in patterns of resource use and costs across patients grouped by type of index bipolar diagnosis. To the extent possible in claims data, the study team compared the observed patterns of care with treatment guidelines and noted the implications of apparent divergence from treatment guidelines
00106_i1552-5783-60-10-3520.txt	Gloriane Schnabolk	2019	Increased Nonexudative Age-Related Macular Degeneration Diagnosis Among Medicare Beneficiaries With Rheumatoid Arthritis	Here we investigate the association between AMD and rheumatoid arthritis (RA), using MarketScan data for patients aged ‡65 years on Medicare.
00107_ijhpm-8-629.txt	Daniel G. Whitney	2019	Prevalence of High-Burden Medical Conditions Among Young and Middle-Aged Adults With Pediatric-Onset Medical Conditions: Findings From US Private and Public Administrative Claims Data	The purpose of this study was to determine the prevalence of high-burden medical conditions among privately and publicly insured adults with POMCs, as compared to adults without POMCs, from the US. 
00108_jjy148.txt	Martin H. Gregory	2019	Anti-Tumour Necrosis Factor Therapy for Inflammatory Bowel Diseases Do Not Impact Serious Infections after Arthroplasty	Our aim was to explore the risk of serious infections and other complications in IBD patients undergoing joint replacement surgery compared to patients without IBD, and to examine the effect of anti-TNFs, immunomodulators and corticosteroid therapies on the risk of infection.
00109_kez622.txt	Aleksander Lenert	2020	Clinical characteristics and comorbidities in adult-onset Still’s disease using a large US administrative claims database	We aimed to describe clinical characteristics, treatment patterns and major comorbidities of a US-based adult-onset Still's disease (AOSD) cohort.
00110_khvi-12-10-1186313.txt	Cristina Masseria	2015	The estimated incidence of pertussis in people aged 50 years old in the United States, 2006–2010	The aim of this study was to estimate the incidence of private practitioner-attended cough illness that could be attributed to Bordetella pertussis in adults aged ?50 years in the US
00111_lupus-2020-000435.txt	Julie A Birt	2020	Corticosteroid dosing and opioid use are high in patients with SLE and remain elevated after belimumab initiation: a retrospective claims database analysis	To investigate corticosteroid and opioid use among patients with SLE and to examine the impact of belimumab initiation on the use of other SLE therapies.
00112_main.txt	Agnes i.E Chan	2009	Direct Medical Costs in Patients With Alzheimer's Disease in Taiwan: A Population-Based Study	The aim of this study was to estimate the direct medical costs attributable to AD in patients aged ::0-60 years in Taiwan from 2000 through 2002 and to explore the correlation of these costs with patients' age and sex.
00113_mder-7-083.txt	Chantal E Holy	2014	The impact of balloon catheter dilation on frequency of sinus surgery in the United States	This study was thus designed to evaluate changes in surgical volumes in the United States, for the period 2006–2011, and to evaluate the impact of the sinus balloons on surgical practice.
00114_medi-95-e3719.txt	Philip Vutien	2016	Racial Disparities in Treatment Rates for Chronic Hepatitis C Analysis of a Population-Based Cohort of 73,665 Patients in the United States	We aimed to examine antiviral treatment rates by race and to evaluate the effect of other demographic, medical, and psychiatric factors on treatment rates. We performed a population-based study of adult CHC patients identified via ICD-9CM query from OptumInsight’s Data Mart from January 2009 to December 2013
00115_mm6639a1.txt	Mary R. Tanner	2017	Retention in Medical Care Among Insured Children with Diagnosed HIV Infection — United States, 2010–2014	To identify areas for additional public health action, further evaluation of the objectives for national medical care for children with diagnosed HIV infection is indicated.
00116_nihms-1002825.txt	Dr. Jennifer C. THOMPSON	2018	Trends in Patient Procurement of Postoperative Opioids and Route of Hysterectomy in the United States from 2004 to 2014	Therefore, the primary aim of this study was to describe trends in postoperative opioid prescribing practices as well as patient procurement of postoperative opioids after discharge for benign hysterectomy in the United States from 2004 to 2014.
00117_nihms-1003593.txt	DR. Jessica L. Mellinger	2019	Gender Disparities in Alcohol Use Disorder Treatment among Privately Insured Patients with Alcohol-associated Cirrhosis	Our aim was to determine rates, predictors, and outcomes of AUD treatment utilization in AC patients with private insurance.
00118_nihms-1004020.txt	Eric M. Ammann	2015	Chart validation of inpatient ICD-9-CM administrative diagnosis codes for acute myocardial infarction (AMI) among intravenous immune globulin (IGIV) users in the Sentinel Distributed Database	In this chart validation study, we report on the positive predictive value (PPV) of inpatient ICD-9-CM AMI administrative diagnosis codes (410.x1 and 410.x0) in the SDD.
00119_nihms-1005556.txt	Gabrielle F. Miller	2020	Prevalence of Nonopioid and Opioid Prescriptions among Commercially-Insured Patients with Chronic Pain	The purpose of this study is to examine the prevalence of nonopioid prescriptions among commercially insured chronic noncancer pain patients (herein defined as patients with chronic pain).
00120_nihms-1019524.txt	James Baggs	2018	Risk of Subsequent Sepsis within 90 Days of a Previous Hospital Stay by Type of Antibiotic Exposure	Our objective was to examine, among a cohort of US hospitalized patients, the risk of sepsis within 90 days after discharge according to receipt during a previous hospitalization of antibiotics categorized a priori on the basis of their propensity to disrupt the microbiome in a clinically important way.
00121_nihms-1034578.txt	Veena Thyagarajana	2013	Identification of seizures among adults and children following influenza vaccination using health insurance claims data	This study objective was to evaluate an algorithm for identification of seizure events using an administrative claims database in a large health plan population of adults and children who received influenza vaccination in the US during the 2009–2010 and 2010–2011 seasons.
00122_nihms-10347477.txt	Kaitlin Benedict	2020	Histoplasmosis-related healthcare use, diagnosis, and treatment in a commercially insured population, United States	To better characterize patient burden of illness with the ultimate goal of informing early intervention strategies, we analyzed administrative data related to histoplasmosis diagnosis and treatment in a commercially insured population.
00123_nihms-1043984.txt	Maria Pisu1	2019	High health care costs in minority groups of older US Medicare beneficiaries with epilepsy	To examine health care costs in diverse older Medicare beneficiaries with epilepsy.
00124_nihms-1050316.txt	Lauren T. Roland	2019	Longitudinal progression of aspirin-exacerbated respiratory disease: analysis of a national insurance claims database	In hopes of better understanding the progression of AERD and current practices for these patients, the aim of this study was to evaluate the AERD cohort within the MarketScan database in regard to timing of diagnoses.
00125_nihms-1066887.txt	Jessica Leung	2020	Guillain-Barré syndrome and antecedent cytomegalovirus infection, United States 2009–2015	To describe incidence and clinical characteristics of cases of Guillain-Barré syndrome (GBS) in the USA during 2009-2015, and characteristics of GBS cases with antecedent cytomegalovirus (CMV) infection among persons with employer-sponsored insurance.
00126_nihms-116306.txt	Jeffrey R. Curtis	2009	“Pathologic” Fractures: Should These Be Included in Epidemiologic Studies of Osteoporotic Fractures?	Using administrative claims data from older Americans enrolled in Medicare, we evaluated pathologic and nonpathologic fractures of the vertebrae and hip to determine the proportion of persons with evidence of a malignancy. We hypothesized that persons with a diagnosis of a pathologic fracture of the spine or hip would be more likely to have evidence of a malignancy than those without diagnoses of pathologic fractures. We further hypothesized that persons with more than one type of fracture might have a greater likelihood of having a malignancy than those with only a single fracture.
00127_nihms-1511631.txt	Theodore K. Marras	2018	Relative Risk of All-Cause Mortality in Patients With Nontuberculous Mycobacterial Lung Disease in a US Managed Care Population	This study aims to assess the public health burden of NTMLD in the US by comparing the relative risk of all-cause mortality in the NTMLD population with an age- and sex-matched cohort from the general population.
00128_nihms-1517435.txt	Jeff Y. Yang	2019	Burden and Cost of Outpatient Hemorrhoids in the United States Employer-Insured Population, 2014	By extrapolating to the entire US employer-insured population, we aimed to provide an accurate estimate of annual spending on hemorrhoid diagnosis and therapy
00129_nihms-1520443.txt	Nathan K Itoga	2019	Association of Opioid Use and Peripheral Arterial Disease	The objectives of this study were to evaluate this relationship and to assess the impact of PAD treatment on opiate usage.
00130_nihms-1535558.txt	Jorge D. Machicado1	2019	PERIOD PREVALENCE OF CHRONIC PANCREATITIS DIAGNOSIS FROM 2001-2013 IN THE COMMERCIALLY INSURED POPULATION OF THE UNITED STATES	 In the present study, we used this large administrative dataset to estimate the prevalence of CP in the US insured population.
00131_nihms-1536421.txt	Chandrashekar Janakiram	2020	Opioid Prescriptions for Acute and Chronic Pain Management Among Medicaid Beneficiaries	The purpose of this study was to investigate opioid prescribing patterns for diagnoses associated with acute and chronic pain among Medicaid patients
00132_nihms-1545494.txt	Cale A. Jacobs1	2020	Depression and Anxiety are Associated with Increased Healthcare Costs and Opioid Use for Patients Undergoing Hip Arthroscopy: Analysis of a Claims Database	To determine if opioid use and health care costs in the year before and following hip arthroscopy for femoroacetabular impingement (FAI) differ between those with or without depression or anxiety.
00133_nihms-1549022.txt	Jordan B. Strom	2019	Comparison of Clinical Trials and Administrative Claims to Identify Stroke Among Patients Undergoing Aortic Valve Replacement: Findings from the Extending Trial-Based Evaluations of Medical Therapies Using Novel Sources of Data (EXTEND) Study	Our primary objectives were to determine the concordance between claims-based and trial-adjudicated stroke and TIA outcomes, and assess whether similar rates of these events were captured by the trial and claims.
00134_nihms-1560475.txt	Lauren T. Roland	2020	Treatment practices for aspirin-exacerbated respiratory disease: analysis of a national insurance claims database	The aim of this study was to evaluate the current treatment practices for AERD in the United States using a large national insurance claims database.
00135_nihms-1593055.txt	David S. Lopez	2019	Association of the extent of therapy with prostate cancer in those receiving testosterone therapy in a US commercial insurance claims database	We investigated the association of PCa with TTh (injection or gel) and different TTh doses and determined whether this association varies by the presence of diabetes at baseline in a large, nationally representative, commercially insured cohort.
00136_nihms-1627088.txt	Amy M. Schwartz	2020	Epidemiology and cost of Lyme disease-related hospitalizations among patients with employer-sponsored health insurance—United States, 2005–2014	"We analysed 2005–2014 data from the
Truven Health Analytics MarketScan Commercial Claims and Encounters Databases
to identify inpatient records associated with Lyme disease based on International
Classification of Diseases, Ninth Revision, Clinical Modification (ICD-9-CM) codes."
00137_nihms-1633540.txt	Rachel P Ogilvie1	2019	Diagnosed Sleep Apnea and Cardiovascular Disease in Atrial Fibrillation Patients: The Role of Measurement Error from Administrative Data	Therefore, our goal for this study was to determine the association of diagnosed OSA with risk of MI and ischemic stroke in a large cohort of patients with non-valvular AF, and to use bias analysis to examine the influence of exposure misclassification on the observed associations.
00138_nihms-1634555.txt	S. A. Iqbal1	2020	Diagnostic code agreement for electronic health records and claims data for tuberculosis	To measure the frequency of diseases related to latent tuberculosis infection (LTBI) and tuberculosis (TB), we assessed the agreement between diagnosis codes for TB or LTBI in electronic health records (EHRs) and insurance claims for the same person.
00139_nihms-539384.txt	Larry A. Allen	2012	Rates and Predictors of 30-Day Readmission Among Commercially Insured and Medicaid-Enrolled Patients Hospitalized With Systolic Heart Failure	Our objective was to use administrative claims data collected from selected state Medicaid programs and commercial insurers to (1) characterize 30-day all-cause and HF-related readmission rates for patients <65 years of age hospitalized with systolic HF, (2) compare rates for Medicaid versus commercially insured patients, (3) compare rates among different health insurance plan types, and (4) assess whether differences in readmission rates by payer and plan type are attributable to measurable differences in patient mix.
00140_nihms-676741.txt	Guijing Wang	2015	Hospital costs associated with atrial fibrillation for ischemic stroke patients aged 18-64 years in the United States	In this study, we estimated the AFib-associated hospital costs among ischemic stroke patients aged 18-64 years.
00141_nihms215355.txt	Lorien S. Dalrymple	2010	Infection-Related Hospitalizations in Older Patients With EndStage Renal Disease	The purpose of this study was to examine the types, rates and risk factors for infection among older persons starting dialysis.
00142_nihms365114.txt	Linda T. Hiraki	2012	Prevalence, Incidence and Demographics of Systemic Lupus Erythematosus and Lupus Nephritis among Medicaid-Enrolled U.S. Children, 2000–2004	To investigate the nationwide prevalence, incidence, and sociodemographics of systemic lupus erythematosus (SLE) and lupus nephritis among children in the US Medicaid beneficiary population.
00143_nihms385583.txt	Larry A. Allen	2014	Performance of Claims-Based Algorithms for Identifying Heart Failure and Cardiomyopathy Among Patients Diagnosed with Breast Cancer	"To characterize the performance of clinical coding algorithms for identification of cardiac dysfunction in a cancer population
"
00144_nihms547897.txt	William J. Richardson	2014	Complications, revision fusions, re-admissions and utilization over a one-year period following bone morphogenetic protein use during primary cervical spine fusions	To determine the 1-year risk of complications, cervical revision fusions, hospital readmissions, and health care services utilization.
00145_nihms580039.txt	Seth M. Cohen	2014	Frequency and Factors Associated with Use of Videolaryngostroboscopy in Voice Disorder Assessment	The purpose of this study is 1) to examine the prevalence of VLS use among outpatient otolaryngology visits, 2) to evaluate laryngeal diagnostic patterns among visits with laryngoscopy versus VLS, and 3) to explore factors associated with VLS use
00146_nihms595045.txt	Chinwe C. Madubata	2015	Neurofibromatosis Type 1 and Chronic Neurological Conditions in the United States: An Administrative Claims Analysis	 Neurofibromatosis type 1 has been linked to several neurological conditions, including epilepsy, Parkinson disease, headache, multiple sclerosis, and sleep disturbances, predominantly through case reports and patient series that lack comparison groups. Our objective was to assess whether specific neurological conditions occur more frequently in individuals with neurofibromatosis type 1 versus those without neurofibromatosis type 1.
00147_nihms668674.txt	José A. Gómez-Puerta	2015	Racial/Ethnic Variation in All-Cause Mortality among U.S. Medicaid Recipients with Systemic Lupus Erythematosus: An Hispanic and Asian Paradox	Incidence of systemic lupus erythematosus (SLE) is disproportionately high in non-Whites vs. Whites. However, variation in mortality according to race/ethnicity has not been well studied. We examined all-cause mortality by race/ethnicity among SLE patients in Medicaid.
00148_nihms690786.txt	Elizabeth T. Jensen	2016	Prevalence of eosinophilic gastritis, gastroenteritis, and colitis: Estimates from a national administrative database	The aim of the present study was to use a large health plan claims database to identify and characterize cases of eosinophilic gastritis, eosinophilic gastroenteritis, and eosinophilic colitis and estimate the prevalence of each of these EGIDs in the U.S
00149_nihms693248.txt	Scott D. Grosse	2014	"The use of US health insurance data for surveillance of rare
disorders: hereditary hemorrhagic telangiectasia"	To assess the utility of US health insurance data for surveillance of hereditary hemorrhagic telangiectasia, an autosomal-dominant blood vasculature disorder with an estimated prevalence of 1.5-2.0 per 10,000 persons worldwide.
00150_nihms778249.txt	Murray H. Brilliant	2016	Mining Retrospective Data for Virtual Prospective Drug Repurposing: L-DOPA and Age-related Macular Degeneration	In this study we investigated the potential relationship between L-DOPA and AMD.
00151_nihms821917.txt	Jennifer T. Anger	2016	Outcomes of Sacral Neuromodulation in a Privately Insured Population	In this study, we analyzed claims data from the Ingenix data base to analyze outcomes of sacral neuromodulation with respect to both provider and patient factors.
00152_nihms877831_(1).txt	Karlyn D. Beer	2017	Giardiasis Diagnosis and Treatment Practices Among Commercially Insured Persons in the United States	 We investigated sequences of giardiasis diagnostic and treatment events using MarketScan, a large health insurance claims database.
00153_nihms877831.txt	Karlyn D. Beer	2017	Giardiasis Diagnosis and Treatment Practices Among Commercially Insured Persons in the United States	 We investigated sequences of giardiasis diagnostic and treatment events using MarketScan, a large health insurance claims database.
00154_nihms878983.txt	Rini Vohra	2017	Comorbidity prevalence, healthcare utilization, and expenditures of Medicaid enrolled adults with autism spectrum disorders	This study aims to (1) examine the prevalence rates of specific types of comorbidities (psychiatric and nonpsychiatric) and other health conditions among adults with ASD as compared to adults without ASD, (2) compare healthcare utilization (OT, IP, ER, and Rx) and associated healthcare expenditures among adults with and without ASD, and (3) determine the association of psychiatric and non-psychiatric comorbidity among adults with and without ASD with their respective healthcare utilization and expenditures
00155_nihms880719.txt	Roy C. Martin	2017	What does the U.S. Medicare administrative claims database tell us about the initial antiepileptic drug treatment for older adults with new-onset epilepsy?	Disparities in epilepsy treatment are not uncommon; therefore, we examined population-based estimates of initial antiepileptic drugs (AEDs) in new-onset epilepsy among racial/ethnic minority groups of older US Medicare beneficiaries.
00156_nihms900358.txt	Dae Hyun Kim	2017	Evaluation of Algorithms to Identify Delirium in Administrative Claims and Drug Utilization Database	The objective of this study was to determine the performance of case-detection algorithms of postoperative delirium based on ICD diagnosis codes and antipsychotics use in hospitalized older adults who had cardiac surgery.
00157_nihms901035.txt	Bryant R. England	2017	Herpes Zoster as a Risk Factor for Incident Giant Cell Arteritis	Histopathologic studies have implicated herpes zoster (HZ) as a causative organism of giant cell arteritis (GCA). The purpose of this study was to assess the epidemiologic association of HZ events with incident GCA.
00158_nihms917602.txt	Liam C. Macleod	2016	Characterizing the Morbidity of Postchemotherapy Retroperitoneal Lymph Node Dissection for Testis Cancer in a National Cohort of Privately Insured Patients	To characterize morbidity of postchemotherapy retroperitoneal lymph node dissection (PC-RPLND) for testis cancer, we analyze a contemporary national database. PCRPLND is the standard for residual radiographic masses ?1 cm (nonseminoma) and positron emission tomographyavid masses ?3 cm (seminoma). Morbidity for PC-RPLND is greater than primary RPLND, which may be mitigated by performing surgery at a high-volume cancer center.
